# source_commit: a2484b1d2b989b9a8f37bf4b59f2925b6e327042
# generated: 2026-05-21T14:31:42Z
# generator: scripts/aggregate_transfer.py
# key_schema: model:method:source:target
# default_precision: 3
model,method,source,target,auroc_mean,auroc_std,n_seeds
Llama-3.1-8B-Instruct,saplma,nq,nq,0.6112,0.007,5
Llama-3.1-8B-Instruct,saplma,nq,popqa,0.5718,0.0072,5
Llama-3.1-8B-Instruct,saplma,nq,sciq,0.5349,0.0136,5
Llama-3.1-8B-Instruct,saplma,nq,searchqa,0.5507,0.0055,5
Llama-3.1-8B-Instruct,saplma,popqa,hotpotqa,0.5651,0.0057,5
Llama-3.1-8B-Instruct,saplma,popqa,nq,0.5445,0.0046,5
Llama-3.1-8B-Instruct,saplma,popqa,popqa,0.7214,0.0048,5
Llama-3.1-8B-Instruct,saplma,popqa,sciq,0.4979,0.0064,5
Llama-3.1-8B-Instruct,saplma,popqa,searchqa,0.5289,0.0033,5
Llama-3.1-8B-Instruct,saplma,sciq,hotpotqa,0.5217,0.0072,5
Llama-3.1-8B-Instruct,saplma,sciq,nq,0.5344,0.0072,5
Llama-3.1-8B-Instruct,saplma,sciq,popqa,0.5377,0.0061,5
Llama-3.1-8B-Instruct,saplma,sciq,sciq,0.5778,0.0094,5
Llama-3.1-8B-Instruct,saplma,sciq,searchqa,0.5516,0.0026,5
Llama-3.1-8B-Instruct,saplma,searchqa,hotpotqa,0.5594,0.0044,5
Llama-3.1-8B-Instruct,saplma,searchqa,nq,0.5611,0.0041,5
Llama-3.1-8B-Instruct,saplma,searchqa,popqa,0.6081,0.0072,5
Llama-3.1-8B-Instruct,saplma,searchqa,sciq,0.5432,0.0087,5
Llama-3.1-8B-Instruct,saplma,searchqa,searchqa,0.6089,0.0036,5
Qwen3-8B,contrastive_logprob_recon,hotpotqa,hotpotqa,0.8746,0.0045,5
Qwen3-8B,contrastive_logprob_recon,hotpotqa,nq,0.7479,0.0121,5
Qwen3-8B,contrastive_logprob_recon,hotpotqa,popqa,0.8408,0.0052,5
Qwen3-8B,contrastive_logprob_recon,hotpotqa,sciq,0.7338,0.0094,5
Qwen3-8B,contrastive_logprob_recon,hotpotqa,searchqa,0.7726,0.0015,5
Qwen3-8B,contrastive_logprob_recon,nq,hotpotqa,0.7172,0.0354,5
Qwen3-8B,contrastive_logprob_recon,nq,nq,0.8237,0.0211,5
Qwen3-8B,contrastive_logprob_recon,nq,popqa,0.7131,0.0433,5
Qwen3-8B,contrastive_logprob_recon,nq,sciq,0.6885,0.0299,5
Qwen3-8B,contrastive_logprob_recon,nq,searchqa,0.7401,0.0092,5
Qwen3-8B,contrastive_logprob_recon,popqa,hotpotqa,0.6593,0.0096,5
Qwen3-8B,contrastive_logprob_recon,popqa,nq,0.7117,0.0051,5
Qwen3-8B,contrastive_logprob_recon,popqa,popqa,0.9211,0.0029,5
Qwen3-8B,contrastive_logprob_recon,popqa,sciq,0.6306,0.0081,5
Qwen3-8B,contrastive_logprob_recon,popqa,searchqa,0.7254,0.0065,5
Qwen3-8B,contrastive_logprob_recon,sciq,hotpotqa,0.6239,0.0105,5
Qwen3-8B,contrastive_logprob_recon,sciq,nq,0.7175,0.0104,5
